ST_FIPS,mean_white,mean_black,tot_white,tot_black,sd_white,sd_black,State,Latitude,Longitude,City,latminus,longminus
1,0.48155714285714285,0.37520714285714285,53453.1167,18184.369,0.27731991444008297,0.28866917573925005,AL,32.6010112,-86.6807365,Alabama,22.601011200000002,-86.6807365
4,0.4612142857142857,0.04342857142857143,37712.5114,3460.9954000000002,0.21917146581745403,0.042472018800056834,AZ,34.1682185,-111.930907,Arizona,24.168218500000002,-111.930907
5,0.6109384615384615,0.24320769230769232,34766.1506,5590.7212,0.2753404212317955,0.3057859966859679,AR,34.7519275,-92.1313784,Arkansas,24.7519275,-92.1313784
6,0.33184032258064516,0.055251612903225805,134130.4776,20908.0504,0.15424892109480257,0.04339950041993754,CA,37.2718745,-119.2704153,California,27.271874500000003,-119.2704153
8,0.5970307692307693,0.046415384615384615,42185.8103,3494.7089,0.10550153541232929,0.02875183606177311,CO,38.9979339,-105.550567,Colorado,28.9979339,-105.550567
9,0.5570857142857143,0.13394285714285714,13721.996200000001,2874.1104,0.1609696185472218,0.08096124293229977,CT,41.5187835,-72.757507,Connecticut,31.518783499999998,-72.757507
10,0.2983,0.49965,4619.8238,5013.6897,0.3041973372664527,0.3387748588664749,DE,39.145251,-75.4189206,Delaware,29.145251000000002,-75.4189206
11,0.5072,0.11395,6732.0656,1042.3234,0,0.06017478707897519,DC,38.8993487,-77.0145666,District of Columbia,28.899348699999997,-77.0145666
12,0.46246857142857145,0.19484,141399.3725,44398.7749,0.2142031907427379,0.209820326778441,FL,27.9757279,-83.8330166,Florida,17.9757279,-80.8330166
13,0.5140290322580645,0.29962903225806453,95331.3922,39281.4988,0.25258103279746136,0.27724662329599664,GA,32.6781248,-83.2229757,Georgia,22.6781248,-83.2229757
16,0.7143999999999999,0.017266666666666666,26479.081,523.7609,0.10187763248132538,0.008162270925831038,ID,45.4945756,-114.1424303,Idaho,35.4945756,-114.1424303
17,0.5667103448275862,0.12084827586206896,79788.3695,14709.616,0.16755039827046408,0.08862088443270846,IL,39.739318,-89.504139,Illinois,29.739317999999997,-89.504139
18,0.7157652173913044,0.07175652173913044,53216.0163,5754.464,0.09123253809855966,0.048275994656548006,IN,39.7662195,-86.441277,Indiana,29.7662195,-86.441277
19,0.6843904761904762,0.07601428571428571,65822.3039,4181.7322,0.11594835447198854,0.06086578090942632,IA,41.9383166,-93.389798,Iowa,31.9383166,-93.389798
20,0.5782894736842106,0.1,48995.8191,3593.9292,0.2021262886160719,0.07530719310486438,KS,38.4987789,-98.3200779,Kansas,28.498778899999998,-98.3200779
21,0.74878,0.12232,39754.1216,4132.6597,0.17451151906311022,0.14563289561673312,KY,37.8222935,-85.7682399,Kentucky,27.8222935,-85.7682399
22,0.38362666666666667,0.4243733333333333,44027.9907,24512.8703,0.2933322067619059,0.32276715283990864,LA,30.9733766,-91.4299097,Louisiana,20.9733766,-91.4299097
23,0.7479538461538462,0.025984615384615384,16612.1332,629.524,0.12288606250903461,0.02282567436586289,ME,45.2185133,-69.0148656,Maine,35.2185133,-69.0148656
24,0.4160111111111111,0.3227611111111111,52079.6712,35384.8497,0.2435332394003136,0.2715218594577584,MD,38.8063524,-77.2684162,Maryland,28.8063524,-77.2684162
25,0.5856121212121213,0.08946666666666667,70767.6826,9184.7383,0.17631692657962494,0.07495585228430578,MA,42.0629398,-71.718067,Massachusetts,32.0629398,-71.718067
26,0.6897529411764706,0.09711176470588236,79231.0502,9610.9143,0.09026591353915842,0.056023319724389564,MI,44.9435598,-86.4158049,Michigan,34.9435598,-86.4158049
27,0.7086842105263158,0.061178947368421055,59076.8999,4740.6792000000005,0.09770135483626675,0.0377854407432776,MN,46.4418595,-93.3655146,Minnesota,36.4418595,-93.3655146
28,0.254375,0.654575,8112.044,5830.5042,0.3027465868235897,0.35277237585540433,MS,32.5851062,-89.8772196,Mississippi,22.5851062,-89.8772196
29,0.7340526315789474,0.08763684210526315,54384.964,7061.4369,0.10674398431356451,0.05775883973255922,MO,38.3046615,-92.437099,Missouri,28.3046615,-92.437099
30,0.64125,0.015275,13784.1328,128.6508,0.2874281533415496,0.012366992358694172,MT,46.6797995,-110.044783,Montana,36.6797995,-110.044783
