CCBASIC,CCUGPROF,HIGHDEG,CCSIZSET,CONTROL,CURROPER,INSTNM,INSTURL
18,10,4,14,1,1,Alabama A & M University,www.aamu.edu/
15,9,4,15,1,1,University of Alabama at Birmingham,www.uab.edu
20,5,4,6,2,1,Amridge University,www.amridgeuniversity.edu
16,15,4,12,1,1,University of Alabama in Huntsville,www.uah.edu
19,10,4,14,1,1,Alabama State University,www.alasu.edu
15,14,4,16,1,1,The University of Alabama,www.ua.edu/
2,2,2,2,1,1,Central Alabama Community College,www.cacc.edu
22,5,4,9,1,1,Athens State University,www.athens.edu
18,9,4,13,1,1,Auburn University at Montgomery,www.aum.edu
15,14,4,15,1,1,Auburn University,www.auburn.edu
21,14,3,11,2,1,Birmingham Southern College,www.bsc.edu/
1,2,2,2,1,1,Chattahoochee Valley Community College,www.cv.edu
20,7,4,6,3,1,South University-Montgomery,"www.southuniversity.edu/montgomery#location=Montgomery,%20AL"
5,2,2,2,1,1,Enterprise State Community College,www.escc.edu
5,2,2,4,1,1,Coastal Alabama Community College,www.coastalalabama.edu
19,7,4,10,2,1,Faulkner University,www.faulkner.edu
7,2,2,3,1,1,Gadsden State Community College,www.gadsdenstate.edu
-2,-2,1,-2,3,1,New Beginning College of Cosmetology,www.nbccosmetology.com
7,2,2,3,1,1,George C Wallace Community College-Dothan,www.wallace.edu
7,2,2,3,1,1,George C Wallace State Community College-Hanceville,www.wallacestate.edu
5,2,2,2,1,1,George C Wallace State Community College-Selma,www.wccs.edu
23,5,4,6,2,1,Herzing University-Birmingham,https://www.herzing.edu/
22,8,3,7,2,1,Huntingdon College,www.huntingdon.edu
24,5,4,6,2,1,Heritage Christian University,www.hcu.edu
7,2,2,1,1,1,J. F. Drake State Community and Technical College,www.drakestate.edu
-2,-2,1,-2,1,1,J F Ingram State Technical College,www.istc.edu
18,13,4,13,1,1,Jacksonville State University,www.jsu.edu/
8,1,2,3,1,1,Jefferson State Community College,www.jeffersonstate.edu/
2,1,2,4,1,1,John C Calhoun State Community College,https://calhoun.edu/
21,9,3,7,2,1,Judson College,www.judson.edu
4,2,2,3,1,1,Lawson State Community College,www.lawsonstate.edu
18,11,4,13,1,1,University of West Alabama,www.uwa.edu
5,2,2,2,1,1,Lurleen B Wallace Community College,https://www.lbwcc.edu
1,4,2,1,1,1,Marion Military Institute,www.marionmilitary.edu
22,11,3,11,2,1,Miles College,www.miles.edu
22,13,4,11,2,1,University of Mobile,www.umobile.edu
19,13,4,11,1,1,University of Montevallo,www.montevallo.edu
5,2,2,3,1,1,Northwest-Shoals Community College,https://www.nwscc.edu
18,13,4,13,1,1,University of North Alabama,www.una.edu
5,2,2,2,1,1,Northeast Alabama Community College,https://www.nacc.edu
22,10,4,11,2,1,Oakwood University,https://www2.oakwood.edu
8,2,2,1,1,1,Reid State Technical College,www.rstc.edu
8,2,2,3,1,1,Bishop State Community College,www.bishop.edu
17,14,4,14,2,1,Samford University,www.samford.edu
24,7,4,6,2,0,Selma University,selmauniversity.edu
7,2,2,3,1,1,Shelton State Community College,www.sheltonstate.edu
2,2,2,2,1,1,Snead State Community College,www.snead.edu
16,13,4,16,1,1,University of South Alabama,www.southalabama.edu
21,12,4,11,2,1,Spring Hill College,www.shc.edu
21,15,3,8,2,1,Stillman College,https://stillman.edu
21,11,3,8,2,1,Talladega College,www.talladega.edu
7,2,2,2,1,1,H Councill Trenholm State Community College,www.trenholmstate.edu
18,7,4,15,1,1,Troy University,www.troy.edu
19,10,4,14,2,1,Tuskegee University,www.tuskegee.edu
32,5,4,6,2,1,United States Sports Academy,www.ussa.edu
8,2,2,3,1,1,Bevill State Community College,www.bscc.edu
18,5,4,15,1,1,University of Alaska Anchorage,www.uaa.alaska.edu
24,10,3,8,2,1,Alaska Bible College,www.akbible.edu/
16,5,4,13,1,1,University of Alaska Fairbanks,www.uaf.edu
19,5,4,9,1,1,University of Alaska Southeast,www.uas.alaska.edu
20,7,4,7,2,1,Alaska Pacific University,www.alaskapacific.edu
-2,-2,1,-2,1,1,AVTEC-Alaska's Institute of Technology,www.avtec.edu/
23,10,4,9,3,1,Charter College,www.chartercollege.edu
13,4,2,1,3,1,Alaska Career College,www.alaskacareercollege.edu
-2,-2,1,-2,3,1,Empire Beauty School-Tucson,www.empire.edu
10,4,2,2,3,1,Carrington College-Phoenix North,https://carrington.edu/
10,4,2,1,3,1,Carrington College-Mesa,https://carrington.edu/
-2,-2,1,-2,3,1,Carrington College-Tucson,https://carrington.edu/
26,10,2,6,2,1,CollegeAmerica-Flagstaff,www.collegeamerica.edu
-2,-2,1,-2,3,1,Arizona Academy of Beauty-East,www.arizonaacademy.com
-2,-2,1,-2,3,1,Platt College-Arizona Automotive Institute Arizona,www.aai.edu
26,5,4,6,3,1,Brookline College-Phoenix,www.brooklinecollege.edu
15,15,4,16,1,1,Arizona State University-Tempe,www.asu.edu/
1,1,2,3,1,1,Arizona Western College,www.azwestern.edu
15,11,4,15,1,1,University of Arizona,www.arizona.edu
30,11,3,6,3,1,Southwest University of Visual Arts-Tucson,www.suva.edu
2,1,2,3,1,1,Central Arizona College,www.centralaz.edu
-2,-2,1,-2,3,1,Charles of Italy Beauty College,www.charlesofitaly.edu
9,1,2,3,1,1,Cochise County Community College District,https://www.cochise.edu
-2,-2,1,-2,3,1,Empire Beauty School-Flagstaff,www.empire.edu
-2,-2,1,-2,3,1,Empire Beauty School-Chandler,www.empire.edu
-2,-2,1,-2,3,0,Cortiva Institute-Tucson,www.cortiva.com/
-2,-2,1,-2,3,1,Avalon School of Cosmetology-Mesa,avalon.edu/locations/mesa-az/
6,1,2,3,1,1,Eastern Arizona College,www.eac.edu
22,14,4,10,2,1,Embry-Riddle Aeronautical University-Prescott,prescott.erau.edu/
30,0,4,18,2,1,School of Architecture at Taliesin,www.taliesin.edu
2,1,2,5,1,1,Glendale Community College,www.gccaz.edu
17,5,4,15,3,1,Grand Canyon University,www.gcu.edu
8,1,2,3,1,1,GateWay Community College,www.gatewaycc.edu
2,1,2,5,1,1,Mesa Community College,www.mesacc.edu
5,1,2,2,1,1,Mohave Community College,https://www.mohave.edu
-2,-2,1,-2,3,1,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,www.uti.edu/
33,7,3,9,1,1,Dine College,https://www.dinecollege.edu
16,11,4,16,1,1,Northern Arizona University,https://nau.edu/
9,1,2,2,1,1,Northland Pioneer College,www.npc.edu
20,7,4,6,2,1,Ottawa University-Phoenix,www.ottawa.edu
5,1,2,4,1,1,Phoenix College,www.phoenixcollege.edu
